Author,Review,Rating,Restaurant,Location
reiko tang,"(Translated by Google) The ingredients are fresh and the service is good.(Original)食材料理新鮮,服务也很好.","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Haan Loong Chua,They mixed my order twice. Service is slow. Food quality wasn't there. For the amount of money that I spend I could get better quality and service elsewhere.,"Rated 2.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Jason Lum,One of the best premium Japanese seafood. Service is off the charts. Ambience is calm and soothing. Valueble pricing of delicious and high quality / freshness of food variations. Portion is enough for you to losen your belt. It is a must try at least once experience.,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Chuan Teik Min,Food is good and a very good atmosphere. The mango and unagi maki is definitely a go to. Salmon lunch set is also quite worth it for the portion of salmon that you will be getting. Definitely will come back.,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
sharonlili tan,Love the freshness of the sashimi and attentive service. Everything else tastes so yummy too! Price a bit steep for the average Joe.,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Kun Zheng Hao,the food here is really good and very large portion especially the TEI set but will cost you about RM80. The parking is free and there's valet to park your car.,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Kaylee Kuah,"It was okay. The good things about the place are the valet parking in the front and the service. The waiters were very attentive. The environment was great very comfy and private a nice date place. …MoreIt was okay. The good things about the place are the valet parking in the front and the service. The waiters were very attentive. The environment was great very comfy and private a nice date place.The not so great things was the quality of the food. While the prices are somewhat affordable for sashimi etc. Most of the quality wasn't there. The red tuna was definitely of a lower grade and while I wouldn't say it wasn't fresh, it had that soft squishy feel of fish that's been defrosted after a while. The prawn sashimi was alright, it was fresh but not as sweet as most places. It just tasted like lower quality items. But I guess it matches with the price. The sushi rolls as well had extremely soggy seaweed which I feel is an easy fix.Overall it was okay but it's not on par with most fine dining Japanese restaurants.","Rated 3.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Pui Wen Tan,"Great place for Japanese dining. Fresh ingredient, nice ambience and food varieties. Price is slight on the high end but it's worth the food!","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
chai jin siew,"Great taste, generous portion, well trained staff.","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Mohd Redzuan Ahmad,Nice,"Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Isabelle Tran,"Had dinner here and while the quality of the food was great, I think portions could be slightly larger to justify the high prices. All the food ordered was great, except the chocolate ice cream - it looked and tasted low end. …MoreHad dinner here and while the quality of the food was great, I think portions could be slightly larger to justify the high prices. All the food ordered was great, except the chocolate ice cream - it looked and tasted low end.Service was wonderful - absolutely a top notch team who was attentive and courteous.A plus that they have free car parking service so it’s always convenient.","Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Yit Siong Chong,"Nice environment and delicious food, need not to worry on the parking as they provide jockey service for free.","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Hoong Chan,great food,"Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Teck Wai Wong,We have tried their set lunches and they are decent sized lunch sets and affordable prices. Ala carte have good choices and wide enough for your taste palate. They have 2 private rooms upstairs and need to be booked - one is on table with …MoreWe have tried their set lunches and they are decent sized lunch sets and affordable prices. Ala carte have good choices and wide enough for your taste palate. They have 2 private rooms upstairs and need to be booked - one is on table with chairs and the other without chairs but you sit normal on the tatami (shoes off!) Both can accomodate about 8 - 10 adult or so. Good service and clean. Parking can be limited though but they have a valet attendant. Enjoy!,"Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Selina Khor,,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
EeYeong Teoh,Foods are fresh and juicy,"Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Yoyo Wong,"Food is not bad but  the soy sauce too salty, suggest use more quality brand for sauce. Sake price too pricey..","Rated 3.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
David Tang,Great service and average food. But prices are really really high compare to other places.,"Rated 3.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Kit fai Chokester,"Sushi is fresh, the sets are just OK","Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Ethan Lee,Food and service is amazing,"Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Ryan Wong,good environmeny and services,"Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Eze Ezekiel,"Fantastic food, big portions, excellent service. Recommend!","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
clever boy,"Very cosy and warmth welcoming dining experience! Very helpful Waiter and waitress, giving you the best waiting options! Salmon sashimi is good, beef tepanyaki set was best set, served perfect taste in medium cook.. make reservations before dining, expect some waiting time here","Rated 5.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
A DN,"Freash fish, fair price","Rated 4.0 out of 5,",Ishin Japanese Dining,"4 off, Persiaran Klang, Batu 3 3, 202, Jalan Kelang Lama, Taman Shanghai, Kuala Lumpur, Federal Territory of Kuala Lumpur"
Rickveen Singh,Good food,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
LEE YW,"(Translated by Google) This restaurant was very satisfying enough to not know where to start commenting. I was a little hesitant at the time of booking due to my poor understanding of Sri Lankan food, but I was very satisfied after the …More(Translated by Google) This restaurant was very satisfying enough to not know where to start commenting. I was a little hesitant at the time of booking due to my poor understanding of Sri Lankan food, but I was very satisfied after the meal. First of all, the food is delicious, and the description of the food is properly provided so that the waiters can enjoy the food, and the appetizer main dessert is also adjusted so that it can be eaten in an appropriate amount. Not only the food taste, but the service is great. Cocktails are also delicious. It is not very difficult to make a reservation, but if you do not make a reservation, you cannot enter the restaurant.(Original)코멘트를 어디에서부터 해야 할지 모를 정도로 만족도가 아주 높았던 식당 입니다. 스리랑카 음식에 대한 이해가 낮아서 예약시 조금 망설였었으나, 식사 후 너무나도 만족 하였습니다. 우선 음식도 맛나고 웨이터들이 맛있게 음식을 먹을 수 있도록 음식에 대한 설명도 적절히 해주면서 적절한 양으로 기분 좋게 먹을 수 있도록 에피타이저 메인 디저트의 양도 잘 조절해 줍니다. 음식 맛 뿐 아니라 서비스도 훌륭합니다. 칵테일도 아주 맛있습니다. 예약이 아주 어려운 것은 아니나 예약을 안할 경우 식당에 못 들어갈 수 있으니 가실 경우 예약을 추천합니다","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Raja Segar,Delicious hoppers made me homely. Tastefully decorated.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Jasmine Charles,Amazing lamprais i have ever ever had. Best out of sri lanka I have tried in malaysia.the murton was to die for.great food and great ambiance #aliyaa #aliyakl #lamprais #bestinKL,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Govindaraj Arunasalam,That is one experience have to try...,"Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Arun Rajamani,"We love this place! It’s very hard to get reservations on weekend. But if you make it, you will realize what the buzz is about. The food is quite spicy the way we like it and they have a wide range of items even for vegetarians.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Sugu Maran,"Food is good,service excellent.","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Shahir Afif,,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Magdalene Simon,"Prices a bit on the high side, but service is great","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Susanna Santhiram-Hofherr,"Very good food, great ambiance, knowledge able and helpful staff.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Seveselvi Selvadurai,"Good variety of authentic Sri Lankan dishes.  Spicey and delicious. The Toddy is a must try.  Sweet and refreshing. The mutton varaval, brinjal poreal, coconut chambal, and onion Chinni chambal accompaniments were all mouthwatering. The …MoreGood variety of authentic Sri Lankan dishes.  Spicey and delicious. The Toddy is a must try.  Sweet and refreshing. The mutton varaval, brinjal poreal, coconut chambal, and onion Chinni chambal accompaniments were all mouthwatering. The idiappam was a bit too dry, and sothi was watery. Don't forget to try the pal appam, absolutely fantastic.  Good service and pleasant ambience. However a bit too pricey. Make sure your money pocket is full and be ready for the hefty bill at the end.","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Balakumaran Balasubramaniam (Ketheesh),excellent everything!,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Robert Chai,"Delicious sri langkan food, curry with giant prawn is a must try, chicken sweet & sour not authentic Sri langkan though but overall good food","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Viknesh A,"Overall Moderate rating for this restaurant.  The food such as Chicken Varuval was too dry but spicy which was priced Rm28 per serving(Big). Kids meal fried rice which consist of very dried chicken pieces was tasteless. Sweet appam at Rm8 a …MoreOverall Moderate rating for this restaurant.  The food such as Chicken Varuval was too dry but spicy which was priced Rm28 per serving(Big). Kids meal fried rice which consist of very dried chicken pieces was tasteless. Sweet appam at Rm8 a piece, Plain white rice at Rm 6 and Nandu Rasam at Rm 32 which was small in portion tops the list for items on the most expensive.","Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Nathan Pillai,"The idlis, chutneys and delicious sambar... Must visit","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
kk,The best Sri Lankan restaurant .exceptional service and delicious food,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Sugu Maran,Good food comfortable ambience,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Benedict Foo,Excellent Sri Lankan cuisine in a very cosy environment. The dishes are very well flavoured and spiced in a very balanced manner. The desserts are also superb. Try the papadum basket which comes with 4 unique dips for starters. The apom is a gr8 way to finish off a meal,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Sanjit Singh,Fine dine Sri Lankan food. Ordered only vegetarian dishes but everything was delicious. Some of the dishes are a tad spicy so please do inform them of your spice tolerance. Quite happy with the service. Worth a visit again. Yes definitely. Price wise this is a special occasion joint.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Umar Saibukandu,Expensive? - Yes!Was it worth it? - Yess!Will I go again? - Yesss!,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Ellen Ng,It was a bad day for me this afternoon at aliyaa restaurant! The Filipino Hostess doesn't know how to answer my question. Am asking for table for 3 and its very hard for her to understand! Soo annoying.!!it made me feel bad! Bad service.. Soo badly! Very bad service,"Rated 1.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Smita Pillai,Good food....and superb atmosphere.,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
S. D. Nicholas Das,Very good food,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Sab Tee,"The crab cakes and the sweet appam were divine. As usual, good Sri Lankan fare with good service. Try the mutton bone peratal as well, you won’t be disappointed.","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Elia Mohd Akhir,From food to service all superb 👌 their appam fantastic 👏,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Brian FML,Spicy and good,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
J “lightning” Lum,Must try crabs!,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Rekha pardiwala crasto,Lovely ambience and food. I simply loved the appams.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Mike Chong,"Food is great, worth it","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Suraya Suratman,"Great food, attentive service.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
purple elephant,The sweet appums were wonderful .... the.signature crab is not fantastic. Atmosphere is very good.,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
wayne sekuriti,Very Good Sri Lankan.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Kosheila Sarangapany,Food was good but way over priced,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Imran Omar,Best Sri Lankan food,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Janie Teh,"Good quality food,delicious & great atmosphere... Excellent service!!!","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
yPing,Too hot for my liking and not worth the price,"Rated 2.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
th yeo,Food good. Service very so so,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
shanthini palanisamy,Best appam,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
abigail fernandes,"If you love Sri Lankan food, and even if you don’t, Aliyaa is a must if you are in Malaysia! Super helpful attentive staff, willing to explain the menu and help with your order. Really creative cocktails, with traditional and unique …MoreIf you love Sri Lankan food, and even if you don’t, Aliyaa is a must if you are in Malaysia! Super helpful attentive staff, willing to explain the menu and help with your order. Really creative cocktails, with traditional and unique ingredients. Food was all out of this world, ambience was gorgeous and cosy yet classy. Highly recommend Lamprais (seasonal?) and the okra and sweet appam is an absolute must!","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
sala,"(Translated by Google) This is the best Sri Lankan dish I've ever had!There is no such authentic and rich variety of Sri Lankan food in Japan! It's spicy but delicious! …More(Translated by Google) This is the best Sri Lankan dish I've ever had!There is no such authentic and rich variety of Sri Lankan food in Japan! It's spicy but delicious!The table, illuminance, choice of BGM and volume were carefully considered, and I loved visiting KL for this store.I wasn't expecting a good service at KL, but the customer service was good and they were very kind.We look forward to hearing from you about your BGM playlist.(Original)これまで食べたスリランカ 料理の中で一番です！日本にはこのような本格的で種類の豊富なスリランカ料理はありません！辛いけど美味しい！テーブルや照度、BGMのチョイスや音量まで配慮が行き届いていて私はこのお店の為にKLを訪れたいくらい気に入りました。KLでサービスの良さはあまり期待していませんでしたが、接客も良くとても親切に対応していただけました。BGMプレイリストについての返信お待ちしています。","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Bharadwaj OVS,Mesmerising,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Lim Jessie,"Very good unique indian food. Staff were very attentive. The lamb curry very tasty but ask for ""little spicy"" as the hot can be very hot.","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
MMM Malaysian,Loved it. Surely will visit the place very soon. Extra word for the service. Above expectation.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Rahul Lobo,Amazing Sri Lankan food. A bit overpriced so make sure you save it for a special treat!,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Loges Kalimuthu,Good place,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Puneet Gupta,Spicy food but you can ask them to town it down,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Madiha Siddiqui,Go for theie amazing crab curry. Slightly on the expensive side. Make sure to reserve a table before you go.,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Elly Suliana,The best Sri Lankan restaurant I've been in KL. Excellent service with friendly staff. Love their Mutton Bone Paratal and Sweet Appam.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Karthik Karunanithy,"Sweet appam, must have them!","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
sameer kaushik,Definitely a place to enjoy good Sri Lankan food.,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Andrew Lee,"Celebrated an anniversary here. Opted for the vegetarian option, rich food and we had to takeaway cuz we were so full haha. Decent experience, just that the staff weren't attentive enough. It was nice of them to offer some compensation for the experience as they gave a discount and some snacks.","Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Abhay Kannchan,"The food, ambiance and service are all amazing. Aliyaa's fish curry and eggplant are show stoppers. Highly recommended.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Muralee Menon,Food n service is great. But a little expensive,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Haider Zaidi,Ahhhhhh sir Lankan food delicious and restaurant and bar is awesome,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
AP Foong,Wonderful culinary experience,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
G W,"Been reading a lot of great reviews about this place, plus it’s one of the 20 Best Restaurants in Malaysia, so after all the hesitation finally giving it a try last night. Not sure because we set our expectation too high, turns out …MoreBeen reading a lot of great reviews about this place, plus it’s one of the 20 Best Restaurants in Malaysia, so after all the hesitation finally giving it a try last night. Not sure because we set our expectation too high, turns out everything tasted quite mediocre. Despite there was no water supply so everything was served in plastic containers (which we understood). But taste wise, honestly we thought nothing amazing…. We ordered “ALIYAA Experience” so we could try all their signature dishes. Turns out, fish curry was almost tasteless, Chicken was tough, Prawn was normal, lamb was like mamak curry lamb… The only highlight of the night was the Sweet Apom.My verdict is ;  high rating places doesn’t guarantee you the best food. Am I happy with this “ALIYAA Mixed Rice Experience”? Am I coming back again? I guess not.","Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Kanmani Adimoolom,Really2 yummy food and good service.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Alvin Ting,"Great environment, good services, a little pushy on expensive item on menu. Cracker rm16 and no refill. Soup is no good. Very diluted. Not much taste. Main dishes was awesome however. Mojito is too sour. Not up to my standard.","Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Cva S.,Clean with Nice ambience...Awesome Paal Appam...,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Selina Matthews,Little expensive but worth the money. Tiger prawn  curry was damn good..,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Daphne Yap,"Had one of the most wonderful meals here. The staff at the restaurant are always attentive and would check on you from time to time. We had the Jaffna Curry Crab, and it was super delicious. Do remember to tell the waiter to adjust the level of the spice if you can't take anything too spicy. Overall, it was an amazing experience.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Elina Toma,Nice environment and specially so delicious food!All above decent and friendly staff. Just loved this place 😍  ,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Harwant Randhawa,Superb food and service!,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Shaun Low,"Mehedi nice guy, attentive and good recommendations.Amma style tiger Prawns are good","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Pam Hendroff,"Delicious Sri Lankan cuisine. A bit spicy for some dishes, but the taste & flavors are wonderful. Good service.","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
PRASAD KARUNANETHI,"Overpriced, table was in bad conditionWater was leaking from the air con","Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
sophia koh,(Translated by Google) V v pricy(Original)V v pricy,"Rated 1.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Waka Waka,Excellent food and  awesome service.,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Shekhar S B,"mutton was tough, and fatty. ambience is good. generally overpriced","Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Daljeet Kaur,The Sri Lankan cuisine is good and so is the ambience. Waiters are attentive and well versed about the food. The portions though are rather small for the price and it was the only grouse plus the fact that the food second time around during the current covid times was not as tasty,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Vanessa May,Best Appom !,"Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Mikie Lee,"Ohhhhh yesssss! So so good.I usually don’t like strong curry food, but Aliyaa spices are just perfect. …MoreOhhhhh yesssss! So so good.I usually don’t like strong curry food, but Aliyaa spices are just perfect. Crabs are fresh and so tasty.I went there twice already and both time the level of amazing service and the yumminess of food are consistent.Highly recommend. Stop checking reviews and just make a reservation alrreadyyyyy! 😂😂","Rated 5.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Thomas Michael,Great Sri Lankan food,"Rated 3.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
Gokula Krishna,I loved and my favorite place after work those days in Jalan Batai. the place have shrank however the palate remains exquisite. Still my favorite ranked among others for me,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
TURQUOISE INTERNATIONAL,Good taste,"Rated 4.0 out of 5,",Aliyaa,"No 48 G&M, Jalan Medan Setia 2, Bukit Damansara, Kuala Lumpur"
